ID Kombinasi,Kategori pH Tanah,Kategori Tekstur/Fisik Tanah,Kategori Bahan Organik (BO),Rekomendasi Dosis Dasar Biochar Aktif (kg/m²)*,Konversi Aplikasi SPOT (g/lubang ~30L)**,Konversi Aplikasi BAND/FURROW (g/m lajur)***,Fokus Utama Aplikasi & CATATAN PENTING (untuk Pengguna Awam)
SM-L-SR,Sangat Masam,Berat/Liat,Sangat Rendah,2.0 - 3.0 kg/m²,180 - 270 g (0.45 - 0.68 L) per Lubang ~30L,400 - 600 g (1.0 - 1.5 L) per meter lajur bedeng,"Kondisi Ekstrem! Fokus: Naikkan pH drastis, perbaiki kegemburan & drainase. WAJIB tambah SANGAT BANYAK pupuk kompos/kandang (minimal 3-5x lipat biochar)."
SM-L-R,Sangat Masam,Berat/Liat,Rendah,1.8 - 2.8 kg/m²,162 - 252 g (0.41 - 0.63 L) per Lubang ~30L,360 - 560 g (0.9 - 1.4 L) per meter lajur bedeng,"Fokus: Naikkan pH signifikan, perbaiki kegemburan. WAJIB tambah BANYAK pupuk kompos/kandang (minimal 2-4x lipat biochar)."
SM-L-S,Sangat Masam,Berat/Liat,Sedang,1.5 - 2.5 kg/m²,135 - 225 g (0.34 - 0.56 L) per Lubang ~30L,300 - 500 g (0.75 - 1.25 L) per meter lajur bedeng,"Fokus: Naikkan pH signifikan, perbaiki kegemburan. Tambah pupuk kompos/kandang PENTING untuk hasil optimal."
SM-L-T,Sangat Masam,Berat/Liat,Tinggi,1.2 - 2.0 kg/m²,108 - 180 g (0.27 - 0.45 L) per Lubang ~30L,240 - 400 g (0.6 - 1.0 L) per meter lajur bedeng,"Fokus: Naikkan pH signifikan. Bahan organik tinggi membantu, tapi struktur liat tetap perlu perhatian. Biochar bantu stabilkan pH & organik."
SM-PM-SR,Sangat Masam,Sedang/Lempung,Sangat Rendah,1.8 - 2.8 kg/m²,162 - 252 g (0.41 - 0.63 L) per Lubang ~30L,360 - 560 g (0.9 - 1.4 L) per meter lajur bedeng,Fokus: Naikkan pH drastis. WAJIB tambah SANGAT BANYAK pupuk kompos/kandang (minimal 3-5x lipat biochar) untuk menghidupkan tanah.
SM-PM-R,Sangat Masam,Sedang/Lempung,Rendah,1.5 - 2.5 kg/m²,135 - 225 g (0.34 - 0.56 L) per Lubang ~30L,300 - 500 g (0.75 - 1.25 L) per meter lajur bedeng,Fokus: Naikkan pH signifikan. WAJIB tambah BANYAK pupuk kompos/kandang (minimal 2-4x lipat biochar).
SM-PM-S,Sangat Masam,Sedang/Lempung,Sedang,1.2 - 2.0 kg/m²,108 - 180 g (0.27 - 0.45 L) per Lubang ~30L,240 - 400 g (0.6 - 1.0 L) per meter lajur bedeng,Fokus: Naikkan pH signifikan. Tambah pupuk kompos/kandang PENTING.
SM-PM-T,Sangat Masam,Sedang/Lempung,Tinggi,1.0 - 1.5 kg/m²,90 - 135 g (0.23 - 0.34 L) per Lubang ~30L,200 - 300 g (0.5 - 0.75 L) per meter lajur bedeng,Fokus: Naikkan pH signifikan. Tanah sudah punya modal BO tinggi. Biochar dosis sedang untuk optimalkan pH.
SM-R-SR,Sangat Masam,Ringan/Pasir,Sangat Rendah,2.0 - 3.0 kg/m²,180 - 270 g (0.45 - 0.68 L) per Lubang ~30L,400 - 600 g (1.0 - 1.5 L) per meter lajur bedeng,"Kondisi Kritis! Fokus: Naikkan pH drastis, tingkatkan drastis simpanan AIR & NUTRISI. WAJIB tambah SANGAT BANYAK pupuk kompos/kandang (minimal 3-5x lipat biochar)."
SM-R-R,Sangat Masam,Ringan/Pasir,Rendah,1.8 - 2.8 kg/m²,162 - 252 g (0.41 - 0.63 L) per Lubang ~30L,360 - 560 g (0.9 - 1.4 L) per meter lajur bedeng,"Fokus: Naikkan pH signifikan, tingkatkan simpanan AIR & NUTRISI. WAJIB tambah BANYAK pupuk kompos/kandang (minimal 2-4x lipat biochar)."
